DMA,2024 Females Age 15-19,2024 Females Age 20-24,2024 Females Age 25-29,Total Female GenZ,Total Population,Age_15_19_Percentage,Age_20_24_Percentage,Age_25_29_Percentage,GenZ_Concentration,GenZ_Index,Age_Variance,Region
Columbus-Tupelo-West Point,15570,15671,13304,44545,443426,34.9534178920193,35.18015489953979,29.866427208440903,10.0456445945885,104.58694481756513,9.027430976757307,Ohio
Corpus Christi,19451,20067,17895,57413,588687,33.879086618013346,34.952014352150215,31.16889902983645,9.752720885631923,101.53726537729293,3.8013753712855607,Other
Dallas-Ft. Worth,307332,311312,305985,924629,9042742,33.238412379451646,33.668855292230724,33.092732328317624,10.225095441183658,106.45523864516313,0.08973690800136065,Texas
Davenport-R.Island-Moline,20430,19546,17461,57437,667021,35.56940648014346,34.030328882079495,30.400264637777042,8.610973267708214,89.6503332857774,7.044358942854803,Other
Dayton,34452,35228,32503,102183,1096048,33.715980153254456,34.47540197488819,31.808617871857354,9.322858123001913,97.06188974450082,1.8877483046413095,Other
Denver,151750,163786,168003,483539,4954077,31.383197632455705,33.87234535373569,34.744457013808606,9.760425605011791,101.61748054447604,3.0424166257868945,Rocky Mountains
Des Moines-Ames,40578,41505,35745,117828,1183381,34.43833384255016,35.225073836439556,30.336592321010286,9.956894694101054,103.6629542406095,6.890082475700493,Other
Detroit,149130,163407,161452,473989,5122203,31.462755464789264,34.47485068218883,34.0623938530219,9.253616071053802,96.3409987555788,2.6668263306967597,Michigan
Dothan,8331,8516,8360,25207,281380,33.050343158646406,33.784266275241,33.16539056611259,8.958348141303576,93.26691322682946,0.15581436506430138,Other
Duluth-Superior,11594,12795,10113,34502,404570,33.60384905222886,37.08480667787374,29.3113442698974,8.528066836394196,88.78718007791542,15.161563517682513,Other
El Paso (Las Cruces),40215,42204,39573,121992,1104284,32.96527641156797,34.595711194176666,32.439012394255364,11.047158158589639,115.01387589858855,1.264436851640041,Other
Elmira (Corning),6376,5787,5319,17482,213182,36.47179956526713,33.102619837547195,30.425580597185675,8.200504733045005,85.37687431757006,9.179112490350398,Other
Erie,12224,13006,10715,35945,388040,34.007511475865904,36.183057448880234,29.809431075253862,9.263220286568394,96.4409899058313,10.496665413547916,Other
Eugene,21239,30340,20680,72259,709179,29.392878395770772,41.98784926445149,28.619272339777744,10.189105994396337,106.08054628473582,56.32510108395073,Other
Eureka,4759,5602,5081,15442,161455,30.818546820360055,36.27768423779303,32.90376894184691,9.564274875352265,99.57532134347491,7.5889395104290225,Other
Evansville,22741,21555,19970,64266,725970,35.38574051598046,33.54028568761087,31.073973796408676,8.852431918674325,92.164201098493,4.679955018707462,Other
Fairbanks,2791,3574,3638,10003,101638,27.90162951114666,35.72928121563531,36.36908927321804,9.841791455951514,102.46459450338028,22.22989339660496,Other
Fargo,20540,22878,20744,64162,643401,32.01271780804838,35.6566191826938,32.33066300925781,9.972318973703802,103.82353908556132,4.073515141121982,Other
Flint-Saginaw-Bay City,32018,31511,28279,91808,1032614,34.874956430812134,34.3227169745556,30.802326594632273,8.890834329187868,92.56401524196816,4.880738437774266,Other
Fresno-Visalia,80377,76166,68097,224640,2108123,35.780359686609685,33.90580484330484,30.313835470085472,10.655924725454824,110.94067690207025,7.7165144747582115,Other
Ft. Myers-Naples,35509,35285,32520,103314,1462505,34.36997889927793,34.15316414038755,31.476856960334516,7.064180977159053,73.54641099262295,2.5966305525453075,Other
Ft. Smith-Fay-Sprngdl-Rgrs,34174,36316,31428,101918,975087,33.530877764477324,35.63256735807217,30.8365548774505,10.452195547679336,108.81961716587263,5.779701780276717,Other
Ft. Wayne,29641,28050,27550,85241,918406,34.7731725343438,32.906699827547776,32.32012763810842,9.281407133664196,96.63033631916537,1.6408694269307704,Other
Gainesville,14612,22303,12336,49251,328087,29.668433128261356,45.28435970843231,25.04720716330633,15.011567053860714,156.2880231630991,112.45920591852723,Other
Glendive,303,254,237,794,9544,38.16120906801007,31.98992443324937,29.848866498740556,8.319362950544845,86.61432779481794,18.627320351841142,Other
Grand Junction-Montrose,6120,5676,5289,17085,189805,35.82089552238806,33.22212467076383,30.95697980684811,9.001343484102104,93.7145451833795,5.923694546941989,Other
Grand Rapids-Kalmzoo-B.Crk,68770,73714,65432,207916,2101484,33.075857557859905,35.45374093383867,31.470401508301432,9.893770307078237,103.00575532021821,4.01646857597656,Other
Great Falls,5040,5071,4704,14815,172967,34.01957475531556,34.228822139723256,31.75160310496119,8.565217642671724,89.17396355303148,1.887349003480013,Other
Green Bay-Appleton,34791,35638,31117,101546,1171465,34.26131999290962,35.095424733618266,30.64325527347212,8.66829141288899,90.24708241726633,5.601322655728166,Other
Greensboro-H.Point-W.Salem,64035,66724,55720,186479,1894927,34.338987231806264,35.78097265643853,29.880040111755214,9.840959572585119,102.45593362165025,9.463756046861024,Other
Greenville-N.Bern-Washngtn,26585,28958,26327,81870,856648,32.47221204348357,35.37070966165873,32.1570782948577,9.557017584818968,99.49976443546528,3.138004047296253,Other
Greenvll-Spart-Ashevll-And,74646,74197,67955,216798,2368415,34.43112943846345,34.22402420686538,31.34484635467117,9.153716726164966,95.30092938294462,2.976283492470559,Other
Greenwood-Greenville,6090,5170,5024,16284,176225,37.39867354458364,31.748956030459347,30.852370424957016,9.2404596396652,96.20402487095849,12.596209711904995,Other
Harlingen-Wslco-Brnsvl-Mca,60060,56154,47556,163770,1415503,36.673383403553764,34.28833119618978,29.03828540025646,11.569738813693789,120.45455355978582,15.257696068533907,Other
Harrisburg-Lncstr-Leb-York,63056,62010,57671,182737,2074166,34.5064217974466,33.93401445793682,31.559563744616582,8.810143450427786,91.72392853526667,2.44160645597346,Other
Harrisonburg,10746,11941,7235,29922,256443,35.91337477441348,39.90709177194038,24.179533453646147,11.668089984908928,121.47850462830777,66.8314830421047,Other
Hartford & New Haven,82701,87585,78604,248890,2652515,33.22793201816063,35.19024468640765,31.581823295431715,9.383170311949225,97.68981038392471,3.2635083116432817,Other
Hattiesburg-Laurel,11960,12606,10315,34881,322396,34.288007797941574,36.14001892147588,29.571973280582554,10.819302969019466,112.64163607728244,11.468358385245718,Other
Helena,1135,912,777,2824,39739,40.19121813031161,32.29461756373937,27.514164305949006,7.106369058104129,73.9856384062763,40.986121253949015,Other
Honolulu,38055,41995,42217,122267,1417614,31.124506203636304,34.34696197665764,34.52853181970605,8.624844280601067,89.79474680213553,3.667429868640364,Other
Houston,276820,273572,266955,817347,8020787,33.86811231949221,33.47072907834738,32.661158602160405,10.190359125607001,106.0935928506923,0.3783425120062409,Texas
Huntsville-Decatur (Flor),29946,30515,28088,88549,933298,33.81856373307434,34.46114580627675,31.720290460648908,9.48775203632709,98.77862881995874,2.05465841203879,Other
Idaho Fals-Pocatllo(Jcksn),17954,21427,13812,53193,444441,33.752561427255465,40.281616002105544,25.96582257063899,11.96851775601261,124.60631015857817,51.36729953915541,Other
Indianapolis,109248,116341,101824,327413,3211430,33.36703185273645,35.5334088750294,31.09955927223415,10.195240126672541,106.14440979770745,4.915607267709376,Other
"Jackson, MS",26896,25721,24607,77224,800747,34.828550709623954,33.307003004247385,31.86444628612867,9.64399491974369,100.40530052550882,2.196998723018411,Other
"Jackson, TN",9109,9309,7896,26314,294706,34.61655392566694,35.376605609181425,30.00684046515163,8.92889863117819,92.96030927908009,8.443585741951097,Other
Jacksonville,62974,63475,64230,190679,2111025,33.02618536912822,33.288930611131796,33.68488401973998,9.032531590104332,94.03924995376094,0.10994967938361888,Other
Johnstown-Altoona-St Colge,19277,28599,17250,65126,653641,29.59954549642232,43.913337223228815,26.48711728034886,9.963573276462157,103.73248611766161,86.37416408270524,Other
Jonesboro,7316,7624,7172,22112,212841,33.08610709117221,34.479015918958034,32.43487698986976,10.388975808232438,108.16142551488835,1.0904666014633746,Other
Joplin-Pittsburg,15658,14729,12880,43267,456805,36.18924353433333,34.04211061548062,29.768645850186054,9.47165639605521,98.6110543228652,10.682792582185405,Other
Juneau,1598,1652,1598,4848,55658,32.96204620462046,34.07590759075907,32.96204620462046,8.710338136476338,90.68483813499878,0.4135623958435465,Other
Kansas City,81240,83533,82352,247125,2564314,32.874051593323216,33.801922104198276,33.3240263024785,9.637080326356289,100.3333114968074,0.21530088685538576,Other
Knoxville,45221,46081,41888,133190,1503459,33.95224866731736,34.59794278849764,31.449808544184997,8.858904699097216,92.23159033594122,2.764979448033907,Other
La Crosse-Eau Claire,15249,17485,11744,44478,458750,34.28436530419533,39.31156976482755,26.40406493097711,9.695476839237058,100.94128770109091,42.32926661616938,Other
"Lafayette, IN",5041,4738,4389,14168,120544,35.58018068887634,33.44155844155844,30.978260869565215,11.753384656225114,122.36652221624671,5.303201011379885,Other
"Lafayette, LA",23140,21939,21720,66799,720861,34.64123714426863,32.84330603751553,32.515456818215846,9.266557630389215,96.4757355700581,1.3098305616431518,Other
Lake Charles,7333,7517,7446,22296,235584,32.889307499102976,33.7145676354503,33.39612486544672,9.464140179299104,98.53280168912868,0.17322065553986132,Other
Lansing,23133,29903,20109,73145,658069,31.626221888030624,40.881810103219635,27.491968008749744,11.115095833415644,115.72118679149916,47.00763994372209,Other
Laredo,12276,11766,10127,34169,286005,35.92730252568117,34.4347215312125,29.637975943106326,11.946993933672488,124.38222191833104,10.798699187391286,Other
Las Vegas,71736,75761,80189,227686,2429777,31.506548492221743,33.27433395114324,35.21911755663501,9.37065417937531,97.55950276110251,3.4484029598337145,Other
Lexington,41785,43842,37071,122698,1233795,34.055159823306,35.731633767461574,30.213206409232424,9.944763919451773,103.53665864584775,8.004035238232685,Other
