DMA,Total Population,Total Female GenZ,Zip,Real_GenZ_Percentage,Index_vs_National,ZIP_Count,Concentration_Level
Shreveport,1100197,99700,190,9.062013439411306,94.34619059032786,190,Media-Baja (90-99)
Sioux City,444686,40901,199,9.197726035899487,95.75911792478723,199,Media-Baja (90-99)
Sioux Falls(Mitchell),722155,67780,311,9.38579667799849,97.71715393549862,311,Media-Baja (90-99)
South Bend-Elkhart,800738,74210,80,9.267700546246088,96.48763466488755,80,Media-Baja (90-99)
Spokane,1264575,119832,211,9.476069035051301,98.65699507129987,211,Media-Baja (90-99)
"Springfield, MO",1092523,98855,236,9.048322094820888,94.20364763176774,236,Media-Baja (90-99)
Springfield-Holyoke,668812,73307,77,10.960778215701872,114.11455936045283,77,Media-Alta (110-119)
St. Joseph,108081,9920,25,9.178301459090866,95.55688529315678,25,Media-Baja (90-99)
St. Louis,3200100,288026,362,9.000531233398956,93.70608870070501,362,Media-Baja (90-99)
Syracuse,949880,102562,121,10.797363877542427,112.41322439816604,121,Media-Alta (110-119)
Tallahassee-Thomasville,757429,88524,70,11.687432089344348,121.67987862578451,70,Alta (120-129)
Tampa-St. Pete (Sarasota),5384459,445603,230,8.275724636402654,86.16000175230798,230,Baja (<90)
Terre Haute,357247,32852,91,9.195878481834697,95.73988271959932,91,Media-Baja (90-99)
Toledo,1001953,96737,125,9.65484408949322,100.51825310980806,125,Media (100-109)
Topeka,526681,59402,153,11.278553811510193,117.4229760967046,153,Media-Alta (110-119)
Traverse City-Cadillac,644138,47953,149,7.4445227575457436,77.50621510698966,149,Baja (<90)
"Tri-Cities, TN-VA",821895,69276,153,8.428813899585712,87.75384057170174,153,Baja (<90)
Tucson (Sierra Vista),1171751,111305,57,9.4990317908839,98.89606429722261,57,Media-Baja (90-99)
Tulsa,1399780,130982,150,9.357327580048294,97.4207572286186,150,Media-Baja (90-99)
Twin Falls,215113,20507,30,9.533129099589518,99.25105728054426,30,Media-Baja (90-99)
Tyler-Longview(Lfkn&Ncgd),610211,60548,57,9.922469440898313,103.30454697035971,57,Media (100-109)
Utica,262673,23600,70,8.984554940934165,93.53975675429069,70,Media-Baja (90-99)
Victoria,99347,9549,6,9.611764824302696,100.06974742270765,6,Media (100-109)
Waco-Temple-Bryan,1184360,146847,93,12.398848323144989,129.08655618502337,93,Alta (120-129)
"Washington, DC (Hagrstwn)",7507735,720988,478,9.603269161737861,99.98129760911024,478,Media-Baja (90-99)
Watertown,247687,24933,78,10.066333719573493,104.80234287915835,78,Media (100-109)
Wausau-Rhinelander,398087,32032,80,8.046482301607437,83.77332012194326,80,Baja (<90)
West Palm Beach-Ft. Pierce,2234142,173358,80,7.7594888776093915,80.78538190493158,80,Baja (<90)
Wheeling-Steubenville,302091,23977,77,7.937012357203624,82.63360958104765,77,Baja (<90)
Wichita Falls & Lawton,391914,37617,75,9.598279214317426,99.9293464027352,75,Media-Baja (90-99)
Wichita-Hutchinson Plus,1195381,115255,343,9.641695827522772,100.38136427841431,343,Media (100-109)
Wilkes Barre-Scranton-Hztn,1419972,123192,245,8.675664027178001,90.32383998085974,245,Media-Baja (90-99)
Wilmington,620474,53318,53,8.593107849805149,89.46433332740966,53,Baja (<90)
Yakima-Pasco-Rchlnd-Knnwck,818528,83464,59,10.196841158763048,106.1610784199471,59,Media (100-109)
Youngstown,553492,45119,69,8.151698669538131,84.86874594186526,69,Baja (<90)
Yuma-El Centro,384373,37700,17,9.808181115739139,102.11467143333807,17,Media (100-109)
Zanesville,62857,5551,6,8.831156434446443,91.94269834932078,6,Media-Baja (90-99)
