DMA,Total Population,Total Female GenZ,Zip,Real_GenZ_Percentage,Index_vs_National,ZIP_Density,Market_Category
New Orleans,1801181,173525,128,9.633956831656564,100.30079225279852,7.106448491295434,Standard Potential - Major Market
New York,22164623,2117855,1059,9.555114021113736,99.47994610421522,4.7778841083829855,Below Average Potential
Norfolk-Portsmth-Newpt Nws,2028761,194861,185,9.604926356529923,99.99855095095778,9.118866145396131,Below Average Potential
North Platte,34008,2869,11,8.436250294048458,87.83126216172454,32.34533051046812,Below Average Potential
Odessa-Midland,488456,47150,39,9.652865355323714,100.49765216584213,7.984342499631492,Below Average Potential
Oklahoma City,2035395,211150,285,10.373907767288413,108.00454953227889,14.00219613391995,Standard Potential - Major Market
Omaha,1212981,115618,218,9.531723909937584,99.23642760783375,17.972251832468935,Below Average Potential
Orlando-Daytona Bch-Melbrn,4926980,444291,188,9.017511741472465,93.88287570965564,3.815724845645811,Below Average Potential
Ottumwa-Kirksville,141124,14061,67,9.963578129871602,103.73253664734747,47.475978572035935,Below Average Potential
Paducah-Cape Girard-Harsbg,960295,86790,251,9.03784774470345,94.09459735954105,26.137801404776656,Below Average Potential
Palm Springs,439646,37070,16,8.431783753292422,87.78476023273646,3.6392916118877463,Below Average Potential
Panama City,488118,37663,49,7.715962123912661,80.33221733753089,10.038556250742648,Below Average Potential
Parkersburg,127928,10574,20,8.265586892627102,86.05445594697466,15.633794009130135,Below Average Potential
Peoria-Bloomington,597268,59031,120,9.883502883127843,102.89885939213642,20.09148322026293,Below Average Potential
Philadelphia,8403027,807343,484,9.60776396410484,100.02809377462205,5.7598291663230405,Standard Potential - Major Market
Phoenix (Prescott),5971538,576753,234,9.658366069176818,100.55492104996348,3.918588477541297,Standard Potential - Major Market
Pittsburgh,2961047,269525,415,9.102354673870424,94.766190165519,14.01531282684807,Below Average Potential
"Portland, OR",3640037,330435,275,9.077792341121807,94.51046746743012,7.55486826095449,Below Average Potential
Portland-Auburn,1073233,84808,237,7.902105134672527,82.27018444468945,22.08280960425183,Below Average Potential
Presque Isle,62680,4513,33,7.200063816209318,74.96111075186586,52.648372686662405,Below Average Potential
Providence-New Bedford,1567233,150573,97,9.60756951901855,100.02606937316942,6.189252012942555,Standard Potential - Major Market
Quincy-Hannibal-Keokuk,230776,20697,106,8.968436925850174,93.3719493091551,45.931985995077476,Below Average Potential
Raleigh-Durham (Fayetvlle),3326007,332899,173,10.008968712332836,104.20510585865202,5.2014322278936875,Standard Potential - Major Market
Rapid City,265310,23340,92,8.79725604010403,91.58975547552114,34.67641626776224,Below Average Potential
Reno,814456,72873,63,8.947444674727672,93.15339534887183,7.7352244934041865,Below Average Potential
Richmond-Petersburg,1575884,150306,169,9.537884768168215,99.3005693693433,10.724139594031032,Below Average Potential
Roanoke-Lynchburg,1065540,106678,176,10.011637291889558,104.23288890235938,16.517446552921523,Standard Potential - Major Market
"Rochester, NY",1064071,102224,103,9.606877736542016,100.01886710605577,9.679805200968731,Standard Potential - Major Market
Rochestr-Mason City-Austin,436806,37481,121,8.580697151595903,89.33512340000918,27.701084692060093,Below Average Potential
Rockford,483509,42264,65,8.741098924735631,91.00509402638804,13.443389885193449,Below Average Potential
Sacramnto-Stkton-Modesto,4548545,431721,245,9.491408791162888,98.81669992755387,5.386337828910124,Below Average Potential
Salisbury,457155,36553,64,7.995756362721615,83.24520359132973,13.999628134877666,Below Average Potential
Salt Lake City,3619385,412570,271,11.398897879059563,118.67589901602503,7.487459886140877,Medium-High Potential - Large Market
San Angelo,144413,14344,34,9.932623794256749,103.41026570093565,23.543586796202558,Below Average Potential
San Antonio,2794006,288872,160,10.338989966378024,107.64101426258273,5.726544610140421,Standard Potential - Major Market
San Diego,3229836,325395,104,10.074660137542587,104.88903065797255,3.219977732615526,Standard Potential - Major Market
San Francisco-Oak-San Jose,7795853,697779,301,8.95064337411185,93.18669756186881,3.861027138402943,Below Average Potential
Santabarbra-Sanmar-Sanluob,702245,79190,37,11.276691183276492,117.40358395173476,5.268816438707289,Medium-High Potential - Large Market
Savannah,1046581,108438,95,10.36116650311825,107.87189802543693,9.077176061862389,Standard Potential - Major Market
Seattle-Tacoma,5752672,515971,303,8.969240728482347,93.38031783750027,5.267117610738105,Below Average Potential
Sherman-Ada,321626,29359,69,9.128304303756538,95.03635625425335,21.453489456698154,Below Average Potential
Shreveport,1100197,99700,190,9.062013439411306,94.34619059032786,17.269634438196068,Below Average Potential
Sioux City,444686,40901,199,9.197726035899487,95.75911792478723,44.75067800650347,Below Average Potential
Sioux Falls(Mitchell),722155,67780,311,9.38579667799849,97.71715393549862,43.065546870131755,Below Average Potential
South Bend-Elkhart,800738,74210,80,9.267700546246088,96.48763466488755,9.990783502219204,Below Average Potential
Spokane,1264575,119832,211,9.476069035051301,98.65699507129987,16.685447680050608,Below Average Potential
"Springfield, MO",1092523,98855,236,9.048322094820888,94.20364763176774,21.601375897807184,Below Average Potential
Springfield-Holyoke,668812,73307,77,10.960778215701872,114.11455936045283,11.512951322643733,Medium-High Potential - Large Market
St. Joseph,108081,9920,25,9.178301459090866,95.55688529315678,23.130800048112064,Below Average Potential
St. Louis,3200100,288026,362,9.000531233398956,93.70608870070501,11.312146495422018,Below Average Potential
Syracuse,949880,102562,121,10.797363877542427,112.41322439816604,12.73845117277972,Medium-High Potential - Large Market
Tallahassee-Thomasville,757429,88524,70,11.687432089344348,121.67987862578451,9.241790319620717,High Potential - Large Market
Tampa-St. Pete (Sarasota),5384459,445603,230,8.275724636402654,86.16000175230798,4.271552629521369,Below Average Potential
Terre Haute,357247,32852,91,9.195878481834697,95.73988271959932,25.47257219794708,Below Average Potential
Toledo,1001953,96737,125,9.65484408949322,100.51825310980806,12.47563508467962,Standard Potential - Major Market
Topeka,526681,59402,153,11.278553811510193,117.4229760967046,29.049842314418026,Medium-High Potential - Large Market
Traverse City-Cadillac,644138,47953,149,7.4445227575457436,77.50621510698966,23.131689172196022,Below Average Potential
"Tri-Cities, TN-VA",821895,69276,153,8.428813899585712,87.75384057170174,18.615516580585112,Below Average Potential
Tucson (Sierra Vista),1171751,111305,57,9.4990317908839,98.89606429722261,4.864514730518685,Below Average Potential
Tulsa,1399780,130982,150,9.357327580048294,97.4207572286186,10.715969652373944,Below Average Potential
Twin Falls,215113,20507,30,9.533129099589518,99.25105728054426,13.946158530632736,Below Average Potential
Tyler-Longview(Lfkn&Ncgd),610211,60548,57,9.922469440898313,103.30454697035971,9.341031217070816,Below Average Potential
Utica,262673,23600,70,8.984554940934165,93.53975675429069,26.64910363836405,Below Average Potential
Victoria,99347,9549,6,9.611764824302696,100.06974742270765,6.039437527051647,Below Average Potential
Waco-Temple-Bryan,1184360,146847,93,12.398848323144989,129.08655618502337,7.852342193252052,High Potential - Large Market
"Washington, DC (Hagrstwn)",7507735,720988,478,9.603269161737861,99.98129760911024,6.366767074224117,Below Average Potential
Watertown,247687,24933,78,10.066333719573493,104.80234287915835,31.491358044628907,Below Average Potential
Wausau-Rhinelander,398087,32032,80,8.046482301607437,83.77332012194326,20.09610964437422,Below Average Potential
West Palm Beach-Ft. Pierce,2234142,173358,80,7.7594888776093915,80.78538190493158,3.5807929845103845,Below Average Potential
Wheeling-Steubenville,302091,23977,77,7.937012357203624,82.63360958104765,25.4890082789623,Below Average Potential
Wichita Falls & Lawton,391914,37617,75,9.598279214317426,99.9293464027352,19.13685145210429,Below Average Potential
Wichita-Hutchinson Plus,1195381,115255,343,9.641695827522772,100.38136427841431,28.69378047668484,Standard Potential - Major Market
Wilkes Barre-Scranton-Hztn,1419972,123192,245,8.675664027178001,90.32383998085974,17.25386134374481,Below Average Potential
Wilmington,620474,53318,53,8.593107849805149,89.46433332740966,8.541856709547861,Below Average Potential
Yakima-Pasco-Rchlnd-Knnwck,818528,83464,59,10.196841158763048,106.1610784199471,7.208061300285391,Below Average Potential
Youngstown,553492,45119,69,8.151698669538131,84.86874594186526,12.466304842707753,Below Average Potential
Yuma-El Centro,384373,37700,17,9.808181115739139,102.11467143333807,4.422787240518975,Below Average Potential
Zanesville,62857,5551,6,8.831156434446443,91.94269834932078,9.545476239718726,Below Average Potential
